ID|FirstName|LastName|City|State|ZipCode
550|Martin|Arthur|Jackson|Virginia|80325
551|Lyndon|Arthur|Montpelier|Colorado|50129
552|Richard|Ford|Sacramento|Tennessee|80338
553|Grover|Roosevelt|Austin|Nebraska|75132
554|Martin|Roosevelt|Jackson|South Carolina|80325
555|Calvin|Harrison|Oklahoma City|Missouri|47060
556|Bill|Buchanan|Baton Rouge|California|61323
557|Thomas|Madison|Carson City|Alaska|80988
558|Chester|Kennedy|Richmond|Minnesota|82990
559|William|Monroe|Olympia|Pennsylvania|55776
560|Harry|Tyler|Phoenix|Iowa|86886
561|George|Ford|Olympia|Hawaii|89115
562|Thomas|Arthur|Annapolis|North Dakota|82222
563|John|Harrison|Phoenix|Delaware|82873
564|Herbert|Ford|Sacramento|Maine|68403
565|John|Jackson|Hartford|Colorado|58183
566|Richard|Fillmore|Lincoln|California|47027
567|Rutherford|Adams|Augusta|New Hampshire|86570
568|Rutherford|Arthur|Phoenix|Delaware|87940
569|Bill|Coolidge|Jackson|Vermont|58852
570|George|Wilson|Trenton|Minnesota|85569
571|Lyndon|Van Buren|Jefferson City|South Dakota|86112
572|Martin|Grant|Juneau|Arizona|47038
573|Abraham|Nixon|Springfield|Kansas|53566
574|Rutherford|Taft|Montpelier|North Carolina|69082
575|Warren|Jackson|Bismarck|Illinois|52424
576|Jimmy|Fillmore|Santa Fe|North Carolina|63772
577|George|Washington|Topeka|Tennessee|51275
578|Ulysses|Carter|Augusta|Ohio|54572
579|Chester|Harrison|Sacramento|Arizona|61037
580|Zachary|Taft|Austin|Vermont|47090
581|Martin|Pierce|Santa Fe|Louisiana|86310
582|Andrew|McKinley|Tallahassee|Minnesota|84849
583|William|Johnson|Montpelier|Wisconsin|54070
584|Richard|Grant|Jefferson City|Missouri|87586
585|William|Wilson|Baton Rouge|Minnesota|46667
586|Martin|Buchanan|Olympia|New Mexico|55886
587|Herbert|Grant|Springfield|Michigan|63779
588|Richard|Garfield|Nashville|North Carolina|61847
589|Herbert|Garfield|Annapolis|Alaska|64326
590|Grover|Eisenhower|Little Rock|Arizona|68582
591|Chester|Jackson|Austin|Iowa|46993
592|Lyndon|Polk|Dover|Mississippi|82394
593|Ulysses|Reagan|Albany|Colorado|76414
594|George|Quincy|Concord|Idaho|80147
595|Herbert|Reagan|Trenton|Nebraska|76181
596|George|Garfield|Frankfort|Virginia|76040
597|Harry|Pierce|Albany|Missouri|54980
598|Ulysses|Taylor|Madison|New Jersey|60761
599|Ronald|Washington|Des Moines|Vermont|64379
600|Ulysses|Truman|Frankfort|North Carolina|77075
601|Millard|Arthur|Nashville|New Hampshire|82189
602|Dwight|Van Buren|Sacramento|Hawaii|64166
603|Calvin|Adams|Providence|Michigan|64262
604|Calvin|Harrison|Harrisburg|Arkansas|68918
605|Dwight|Grant|Boston|Illinois|52661
606|Zachary|Cleveland|Des Moines|Maryland|57045
607|James|Reagan|Denver|Maine|88116
608|Ulysses|Adams|Indianapolis|West Virginia|84994
609|Ulysses|Jefferson|Santa Fe|Colorado|72584
610|Theodore|Wilson|Helena|North Dakota|86466
611|Woodrow|Jefferson|Little Rock|South Carolina|85416
612|George|Nixon|Lincoln|Missouri|46739
613|Ulysses|Tyler|Albany|New Hampshire|66536
614|Rutherford|Harrison|Phoenix|West Virginia|66543
615|Warren|Garfield|Raleigh|Georgia|75119
616|Bill|Wilson|Lansing|Idaho|58858
617|Lyndon|Madison|Juneau|Florida|64739
618|Harry|Reagan|Springfield|Alaska|60186
619|Ulysses|Taft|Salem|Tennessee|55600
620|Benjamin|Pierce|Sacramento|South Dakota|58157
621|Harry|Roosevelt|Salem|Tennessee|87534
622|Woodrow|Wilson|Hartford|Minnesota|86689
623|Theodore|Garfield|Springfield|Arizona|85564
624|Bill|Jefferson|Dover|Washington|78665
625|Millard|Johnson|Tallahassee|Wisconsin|57139
626|Andrew|Pierce|Atlanta|Massachusetts|61439
627|Martin|Jackson|Concord|Massachusetts|74079
628|William|Lincoln|Atlanta|Wisconsin|68958
629|Herbert|Harrison|Lincoln|Hawaii|76286
630|Gerald|Adams|Pierre|Connecticut|60868
631|George|Garfield|Hartford|North Dakota|74794
632|Chester|Reagan|Olympia|Washington|61014
633|John|Truman|Baton Rouge|South Carolina|70869
634|Bill|Van Buren|Oklahoma City|Massachusetts|67423
635|Jimmy|Grant|Springfield|Wisconsin|59442
636|Millard|Polk|Frankfort|Pennsylvania|67394
637|Herbert|Fillmore|Dover|South Carolina|80747
638|Franklin|Buchanan|Raleigh|Rhode Island|71832
639|Thomas|Nixon|Santa Fe|Oregon|65088
640|Bill|Clinton|Dover|Ohio|48181
641|Lyndon|Lincoln|Raleigh|Indiana|87695
642|Dwight|Hayes|Indianapolis|Illinois|88450
643|Franklin|Clinton|Hartford|New York|56207
644|William|Ford|Indianapolis|Arizona|78705
645|Dwight|Carter|Salt Lake City|Oregon|75521
646|Chester|Polk|Montgomery|Ohio|67441
647|Franklin|Nixon|Providence|Missouri|61149
648|Gerald|Van Buren|Helena|Florida|79364
649|Benjamin|Roosevelt|Harrisburg|Michigan|76180
650|Woodrow|Eisenhower|Nashville|Alaska|61895
651|James|Quincy|Hartford|Wyoming|75675
652|Thomas|McKinley|Frankfort|Kentucky|86234
653|Benjamin|Johnson|Bismarck|Missouri|49409
654|Warren|Hayes|Trenton|Massachusetts|53424
655|Theodore|Buchanan|Honolulu|Indiana|51698
656|Benjamin|Eisenhower|Providence|Wisconsin|64835
657|James|Adams|Dover|Oklahoma|88138
658|William|Roosevelt|Honolulu|Kentucky|74445
659|Herbert|Truman|Salem|Alabama|60753
660|Gerald|Hoover|Lansing|New Jersey|87459
661|Calvin|Monroe|Harrisburg|Ohio|87109
662|Franklin|Ford|Albany|North Dakota|71664
663|Jimmy|Polk|Columbus|Illinois|54740
664|Richard|Nixon|Des Moines|Arizona|50690
665|Harry|Harrison|Boise|Illinois|66914
666|Dwight|Jackson|Montpelier|North Carolina|82736
667|Harry|Polk|Lincoln|Wisconsin|47769
668|Calvin|Roosevelt|Boise|Wisconsin|84459
669|Harry|Jefferson|Salt Lake City|Minnesota|70052
670|Harry|Hoover|Salt Lake City|Iowa|85150
671|Benjamin|Kennedy|Salt Lake City|Hawaii|87096
672|Gerald|Garfield|Little Rock|Oregon|85549
673|Theodore|Carter|Oklahoma City|Minnesota|75402
674|William|Tyler|Baton Rouge|Iowa|72586
675|Martin|Roosevelt|Jackson|Tennessee|81553
676|Richard|Hoover|Des Moines|Oregon|83190
677|Benjamin|Harding|Madison|Alaska|83624
678|William|Johnson|Albany|Nevada|77573
679|Harry|Hoover|Santa Fe|Virginia|81760
680|John|Taft|Hartford|Kansas|54934
681|Ulysses|Truman|Phoenix|West Virginia|79578
682|Jimmy|Hoover|Dover|New Hampshire|68776
683|Dwight|Kennedy|Lincoln|Arizona|66729
684|Gerald|Coolidge|Olympia|Pennsylvania|55032
685|Harry|Quincy|Indianapolis|New Mexico|78305
686|Chester|Jefferson|Topeka|Utah|70912
687|Martin|Roosevelt|Jefferson City|Illinois|51451
688|Rutherford|Wilson|Des Moines|New York|79921
689|Ronald|Madison|Augusta|Rhode Island|61403
690|Herbert|Garfield|Sacramento|South Dakota|78029
691|Ronald|Jackson|Salem|Tennessee|57016
692|Bill|Wilson|Juneau|Iowa|88902
693|Herbert|Garfield|Nashville|Illinois|69867
694|Calvin|Jackson|Carson City|Missouri|83175
695|Martin|McKinley|Frankfort|New York|60146
696|Calvin|Eisenhower|Annapolis|North Dakota|64751
697|Jimmy|Madison|Salt Lake City|Massachusetts|58641
698|Lyndon|Nixon|Charleston|West Virginia|58793
699|Woodrow|Carter|Saint Paul|Alaska|88038
700|William|Pierce|Little Rock|North Carolina|49706
701|Lyndon|Harrison|Helena|Mississippi|63852
702|Thomas|Van Buren|Providence|Oregon|59427
703|Theodore|Taylor|Harrisburg|Rhode Island|59110
704|Woodrow|Polk|Salem|Kansas|67426
705|James|Monroe|Trenton|California|47906
706|Benjamin|Johnson|Annapolis|New Hampshire|66438
707|William|Truman|Trenton|New Mexico|77427
708|Warren|Adams|Des Moines|Oklahoma|48886
709|Franklin|Adams|Saint Paul|Alaska|87914
710|Calvin|Eisenhower|Montpelier|Michigan|84138
711|George|Harrison|Columbus|Massachusetts|50727
712|Rutherford|Wilson|Annapolis|Virginia|55976
713|Rutherford|Johnson|Lansing|Vermont|82027
714|Theodore|Adams|Boston|Idaho|73785
715|Ulysses|Reagan|Nashville|Tennessee|63118
716|Warren|Harding|Lincoln|Oregon|53338
717|Theodore|Garfield|Boise|South Carolina|66978
718|Theodore|Johnson|Helena|Texas|50445
719|Bill|Harrison|Montpelier|Minnesota|86938
720|Millard|Wilson|Frankfort|Kentucky|86769
721|Andrew|Arthur|Juneau|Wisconsin|48368
722|Harry|Carter|Santa Fe|Nevada|77333
723|Martin|Nixon|Nashville|Oregon|50266
724|Warren|Kennedy|Oklahoma City|Texas|48401
725|Herbert|Polk|Providence|New Hampshire|78721
726|William|Jackson|Little Rock|West Virginia|83823
727|John|Taylor|Nashville|Oklahoma|59849
728|Gerald|Harrison|Juneau|Utah|61235
729|Zachary|Coolidge|Austin|Iowa|52864
730|Rutherford|Coolidge|Juneau|Missouri|55074
731|George|Roosevelt|Carson City|Michigan|67523
732|Bill|Garfield|Austin|Maine|70689
733|Thomas|Kennedy|Juneau|Alaska|86642
734|Ronald|Jackson|Richmond|Louisiana|82183
735|Herbert|Johnson|Sacramento|New Jersey|88646
736|Warren|Wilson|Lincoln|Texas|75387
737|Calvin|Ford|Des Moines|Maine|70780
738|George|Harrison|Columbus|Maine|56427
739|William|Polk|Boise|Utah|76893
740|John|Monroe|Tallahassee|Georgia|53214
741|John|Eisenhower|Boise|Oklahoma|62052
742|Lyndon|Tyler|Annapolis|Kansas|87697
743|Jimmy|Hayes|Richmond|Maine|75103
744|Theodore|Eisenhower|Phoenix|Alaska|56750
745|Zachary|Roosevelt|Austin|Mississippi|66875
746|Lyndon|Hoover|Denver|Idaho|56144
747|William|Polk|Montgomery|New York|52070
748|Ulysses|Jefferson|Raleigh|Rhode Island|51932
749|Ronald|Kennedy|Concord|Kentucky|54000
750|William|Hoover|Honolulu|Ohio|50247
751|Dwight|Harrison|Little Rock|North Dakota|89359
752|Warren|Jefferson|Atlanta|Washington|76891
753|Calvin|Arthur|Helena|California|83506
754|Ronald|Clinton|Dover|Kansas|50633
755|Gerald|Roosevelt|Hartford|Nebraska|67363
756|Ronald|Fillmore|Honolulu|Texas|70537
757|Theodore|Harding|Lincoln|South Carolina|85006
758|Grover|Adams|Oklahoma City|Louisiana|60121
759|Millard|Tyler|Richmond|Delaware|48324
760|Theodore|Roosevelt|Oklahoma City|Nevada|56145
761|Millard|Truman|Indianapolis|Colorado|70117
762|Bill|Lincoln|Nashville|Mississippi|50524
763|William|Monroe|Augusta|California|74447
764|Herbert|Pierce|Tallahassee|Indiana|74621
765|Herbert|Jefferson|Baton Rouge|Mississippi|69281
766|Andrew|Jefferson|Sacramento|California|71641
767|Warren|McKinley|Austin|Iowa|62532
768|Dwight|Kennedy|Jefferson City|Missouri|50829
769|John|Ford|Oklahoma City|Colorado|74055
770|Franklin|Taylor|Indianapolis|Rhode Island|74110
771|Martin|Eisenhower|Harrisburg|Virginia|66605
772|Dwight|Adams|Raleigh|Virginia|49698
773|John|Roosevelt|Columbia|Ohio|49097
774|Jimmy|Buchanan|Columbus|Washington|85383
775|Rutherford|Fillmore|Albany|North Dakota|67718
776|James|Harding|Baton Rouge|New Jersey|81426
777|Grover|Buchanan|Annapolis|Idaho|60420
778|Gerald|Kennedy|Jefferson City|New Mexico|81367
779|Andrew|Tyler|Providence|Connecticut|65805
780|Franklin|Adams|Tallahassee|Delaware|56526
781|Gerald|Tyler|Des Moines|Florida|88428
782|Grover|Lincoln|Oklahoma City|Colorado|52544
783|Herbert|Nixon|Lansing|New Mexico|50976
784|Theodore|Grant|Bismarck|Nebraska|54356
785|Millard|Hayes|Richmond|Maryland|46870
786|Grover|Harrison|Jackson|Oklahoma|63109
787|Franklin|Wilson|Nashville|Georgia|82595
788|Warren|Washington|Springfield|Ohio|72281
789|Benjamin|Roosevelt|Indianapolis|Oklahoma|53549
790|Ulysses|Johnson|Madison|Nevada|51350
791|Warren|Taft|Pierre|North Dakota|81462
792|Thomas|Monroe|Columbus|Montana|77104
793|Ronald|Polk|Dover|Indiana|62935
794|Benjamin|Fillmore|Helena|New Mexico|71057
795|Abraham|Harrison|Frankfort|West Virginia|77824
796|Herbert|Eisenhower|Phoenix|New Hampshire|76749
797|George|Carter|Olympia|New Jersey|48995
798|Jimmy|Polk|Hartford|New Jersey|65023
799|George|Cleveland|Providence|Texas|70227
800|Herbert|McKinley|Montpelier|Louisiana|70209
801|Chester|Johnson|Baton Rouge|South Carolina|70079
802|Chester|Roosevelt|Augusta|Washington|73568
803|Warren|Kennedy|Jefferson City|Washington|54192
804|Millard|Roosevelt|Boston|Alabama|62122
805|Ronald|Pierce|Little Rock|Massachusetts|89405
806|Chester|Adams|Montpelier|North Dakota|65096
807|James|Jackson|Raleigh|Nevada|74299
808|Dwight|Tyler|Juneau|North Carolina|53301
809|Theodore|Buchanan|Frankfort|Illinois|77670
810|Gerald|Monroe|Helena|Illinois|60456
811|Martin|Jefferson|Harrisburg|Alaska|64767
812|Calvin|Buchanan|Concord|Indiana|51798
813|George|Quincy|Carson City|Hawaii|61500
814|Zachary|Hoover|Indianapolis|Missouri|59459
815|Bill|Adams|Juneau|Illinois|80121
816|Theodore|McKinley|Annapolis|North Carolina|74658
817|Martin|Pierce|Salem|Arizona|85351
818|Thomas|Monroe|Honolulu|Maine|83759
819|Gerald|Carter|Sacramento|Colorado|68573
820|William|Johnson|Trenton|Kansas|48620
821|Jimmy|Carter|Raleigh|Georgia|73956
822|Gerald|Johnson|Saint Paul|Arkansas|83288
823|Abraham|Jackson|Frankfort|Vermont|59471
824|James|Jackson|Nashville|Indiana|84044
825|William|Lincoln|Salem|Wyoming|65003
826|Rutherford|Monroe|Honolulu|West Virginia|64203
827|George|McKinley|Jefferson City|Missouri|58054
828|Richard|Arthur|Lincoln|Michigan|63920
829|Martin|Harrison|Hartford|Colorado|72530
830|Rutherford|Madison|Lansing|Indiana|78068
831|Calvin|Adams|Jackson|Oklahoma|46551
832|Benjamin|Jefferson|Sacramento|Mississippi|59588
833|Franklin|Roosevelt|Juneau|Georgia|74546
834|Ulysses|Adams|Austin|Nevada|83652
835|Richard|Roosevelt|Richmond|Tennessee|58682
836|Chester|Polk|Montgomery|Arkansas|81849
837|Thomas|Garfield|Columbus|Delaware|71552
838|George|Arthur|Oklahoma City|Colorado|54683
839|Thomas|Carter|Santa Fe|Wyoming|83866
840|William|Van Buren|Baton Rouge|Arkansas|50802
841|Zachary|Jackson|Carson City|Maine|79092
842|Theodore|Hayes|Boston|Colorado|47820
843|Harry|Hayes|Richmond|New Hampshire|51728
844|Warren|Roosevelt|Jackson|Utah|88363
845|Warren|Hoover|Phoenix|North Carolina|77050
846|Warren|Fillmore|Saint Paul|Washington|67982
847|George|Coolidge|Trenton|Connecticut|71421
848|Harry|Wilson|Cheyenne|Tennessee|74691
849|Woodrow|Truman|Salt Lake City|Iowa|77440
850|Lyndon|Taft|Charleston|New York|77181
851|Theodore|Roosevelt|Lansing|Oklahoma|58113
852|Theodore|Kennedy|Topeka|Louisiana|85307
853|William|Pierce|Montpelier|Illinois|63124
854|Lyndon|Adams|Bismarck|Maryland|68961
855|Zachary|Kennedy|Hartford|Connecticut|48509
856|Calvin|Washington|Lincoln|Alaska|76774
857|Abraham|Harrison|Jefferson City|Delaware|87440
858|Warren|Eisenhower|Hartford|North Carolina|48595
859|Ronald|Van Buren|Juneau|Nevada|60562
860|Gerald|Pierce|Tallahassee|Indiana|65063
861|James|Harrison|Oklahoma City|New Hampshire|66328
862|Andrew|Roosevelt|Saint Paul|Utah|63511
863|Ronald|Harding|Dover|West Virginia|85067
864|Grover|Quincy|Austin|Arkansas|47875
865|Ulysses|Taft|Madison|Delaware|82483
866|Ulysses|Ford|Charleston|Virginia|63382
867|Calvin|Madison|Cheyenne|South Dakota|67940
868|Theodore|Nixon|Juneau|New Jersey|64085
869|George|Adams|Salt Lake City|Pennsylvania|78019
870|Zachary|Coolidge|Concord|Delaware|50173
871|Ronald|Carter|Pierre|Mississippi|69997
872|Ulysses|Quincy|Concord|Nevada|46757
873|Jimmy|Adams|Lincoln|Delaware|70295
874|Herbert|Reagan|Olympia|New York|66444
875|Ulysses|Grant|Frankfort|Nebraska|64961
876|Franklin|McKinley|Oklahoma City|Missouri|72892
877|Martin|Cleveland|Olympia|Maryland|85298
878|Gerald|Arthur|Columbia|Ohio|55917
879|John|Wilson|Denver|Kentucky|46651
880|Ronald|Roosevelt|Juneau|Michigan|65538
881|Grover|Johnson|Honolulu|Colorado|76477
882|Thomas|Arthur|Topeka|Ohio|62364
883|Ulysses|Lincoln|Salt Lake City|Missouri|85186
884|James|Harding|Denver|New Hampshire|74778
885|William|Johnson|Richmond|Delaware|50445
886|Lyndon|Johnson|Dover|New Mexico|72208
887|Andrew|Washington|Columbia|Rhode Island|85570
888|Bill|Hayes|Springfield|New Hampshire|81634
889|Calvin|Fillmore|Lincoln|Vermont|70059
890|Ulysses|Arthur|Jackson|South Dakota|54584
891|Zachary|Harrison|Hartford|South Dakota|84528
892|Zachary|Eisenhower|Charleston|North Dakota|56746
893|Andrew|Coolidge|Concord|New Jersey|69509
894|Thomas|Fillmore|Carson City|Connecticut|56450
895|Martin|Roosevelt|Indianapolis|Maine|58820
896|Calvin|Adams|Trenton|Kentucky|79267
897|James|Jackson|Frankfort|Iowa|55242
898|Ulysses|Hayes|Lansing|Delaware|76178
899|Dwight|Truman|Raleigh|South Carolina|51080
900|Dwight|Washington|Santa Fe|Minnesota|67064
901|George|Nixon|Dover|Utah|82200
902|Theodore|Madison|Harrisburg|Massachusetts|86938
903|Franklin|Garfield|Little Rock|Utah|87077
904|Abraham|Cleveland|Juneau|North Dakota|54460
905|Woodrow|Madison|Madison|Indiana|80770
906|Dwight|Harrison|Trenton|Alaska|75976
907|Franklin|Ford|Austin|Indiana|50475
908|Rutherford|Grant|Denver|Alaska|52979
909|Jimmy|Pierce|Pierre|Tennessee|55373
910|George|Harrison|Charleston|Alabama|66793
911|Harry|Ford|Denver|New Jersey|66833
912|Woodrow|Coolidge|Little Rock|Utah|72385
913|Chester|Harding|Cheyenne|Oregon|61264
914|Ronald|Coolidge|Jefferson City|North Dakota|50542
915|Benjamin|Reagan|Charleston|South Dakota|48907
916|Richard|Jefferson|Charleston|Ohio|58727
917|Harry|Harrison|Charleston|Nevada|78212
918|Dwight|Harrison|Indianapolis|New York|54507
919|Harry|Harrison|Dover|Minnesota|82334
920|Jimmy|Harding|Tallahassee|Oklahoma|61173
921|Woodrow|Grant|Concord|Nevada|63496
922|Chester|Monroe|Nashville|Oklahoma|75830
923|Lyndon|Garfield|Jackson|South Dakota|70559
924|Thomas|Johnson|Boise|Alabama|55640
925|Martin|Adams|Springfield|Nebraska|82055
926|William|Kennedy|Baton Rouge|Arkansas|66854
927|James|Jackson|Cheyenne|Massachusetts|87635
928|Calvin|Truman|Atlanta|Nevada|48720
929|Harry|McKinley|Boise|South Carolina|50409
930|Jimmy|Pierce|Des Moines|Maine|79298
931|Franklin|Wilson|Pierre|Pennsylvania|69826
932|Chester|Hayes|Atlanta|Oklahoma|50418
933|Lyndon|Washington|Jackson|Kentucky|52205
934|Abraham|Fillmore|Concord|Indiana|57988
935|Jimmy|Jefferson|Des Moines|Florida|69693
936|Ronald|Ford|Charleston|Montana|64834
937|James|Roosevelt|Saint Paul|Colorado|65669
938|Gerald|Tyler|Salem|Minnesota|83744
939|Franklin|Grant|Annapolis|Indiana|53085
940|Harry|Johnson|Hartford|Utah|73219
941|Harry|Garfield|Madison|Colorado|70862
942|Andrew|Van Buren|Boston|Washington|85878
943|John|Kennedy|Columbia|Texas|67361
944|George|Garfield|Tallahassee|New York|85434
945|Theodore|Johnson|Carson City|Indiana|49479
946|James|Monroe|Annapolis|California|82005
947|Jimmy|Johnson|Saint Paul|Nevada|72265
948|Woodrow|Madison|Montpelier|Colorado|53967
949|Chester|Harding|Columbia|Ohio|69050
950|Gerald|Hoover|Columbus|Rhode Island|72578
951|Ulysses|Truman|Boise|Pennsylvania|47841
952|Herbert|Johnson|Dover|Connecticut|54715
953|John|Madison|Montpelier|Alaska|70530
954|Abraham|Roosevelt|Concord|Michigan|75879
955|Warren|Washington|Oklahoma City|Wisconsin|75265
956|Rutherford|Cleveland|Salt Lake City|New Hampshire|46069
957|Harry|Jackson|Tallahassee|Colorado|55924
958|Thomas|Hoover|Raleigh|Missouri|71017
959|George|Madison|Sacramento|Texas|48917
960|Lyndon|Carter|Lansing|California|76138
961|Abraham|Washington|Montgomery|Mississippi|54874
962|Bill|Coolidge|Trenton|Missouri|76080
963|Dwight|Eisenhower|Santa Fe|Massachusetts|49049
964|Franklin|Cleveland|Lincoln|Maine|80331
965|Benjamin|Buchanan|Raleigh|Idaho|65655
966|Gerald|Cleveland|Albany|Louisiana|70984
967|Dwight|Fillmore|Little Rock|South Dakota|82794
968|Franklin|McKinley|Columbia|New York|82555
969|Harry|Tyler|Jackson|Montana|82449
970|Harry|Hoover|Austin|Minnesota|46884
971|Warren|McKinley|Salem|Kansas|66655
972|Rutherford|Polk|Columbus|North Carolina|86277
973|Richard|Grant|Cheyenne|Oregon|84547
974|Benjamin|Clinton|Juneau|New Jersey|59114
975|Theodore|Reagan|Des Moines|Alaska|55939
976|Woodrow|Eisenhower|Salem|Connecticut|65791
977|Chester|Kennedy|Concord|Texas|46191
978|Bill|Cleveland|Bismarck|Wyoming|54007
979|Harry|Tyler|Little Rock|Alaska|80264
980|Ulysses|Washington|Saint Paul|Indiana|65178
981|Andrew|Eisenhower|Richmond|Maine|56146
982|William|Roosevelt|Frankfort|Delaware|47198
983|Andrew|McKinley|Harrisburg|Georgia|58299
984|Jimmy|Truman|Boston|South Dakota|66052
985|Thomas|Reagan|Providence|North Carolina|74293
986|Andrew|Roosevelt|Jackson|Indiana|49699
987|Richard|Adams|Carson City|Iowa|61041
988|Calvin|Washington|Baton Rouge|Ohio|50485
989|Zachary|Quincy|Trenton|Washington|73059
990|Andrew|Ford|Sacramento|Arizona|57981
991|Millard|Johnson|Montgomery|Maine|66939
992|John|Monroe|Jackson|Idaho|55998
993|Millard|Grant|Nashville|North Carolina|48776
994|Zachary|Kennedy|Richmond|Georgia|59298
995|Ronald|Harding|Indianapolis|Utah|86023
996|John|Ford|Charleston|Mississippi|61942
997|Chester|Lincoln|Raleigh|Maine|83656
998|Martin|Jefferson|Baton Rouge|New Mexico|68634
999|Dwight|Clinton|Des Moines|Montana|55129
1000|Bill|Polk|Little Rock|South Carolina|85206
